Easting,Northing,Elevation,Chainage,Velocity,
512292.22,6940505.06,2.99,0.24,185,
512292.22,6940505.06,2.99,0.24,190,
512292.22,6940505.06,2.94,0.24,190,
512292.22,6940505.06,2.94,0.24,195,
512292.22,6940505.06,2.88,0.24,195,
512292.22,6940505.06,2.88,0.24,200,
512292.22,6940505.06,2.83,0.24,200,
512292.22,6940505.06,2.83,0.24,205,
512292.22,6940505.06,2.83,0.24,205,
512292.22,6940505.06,2.78,0.24,205,
512292.22,6940505.06,2.78,0.24,210,
512292.22,6940505.06,2.72,0.24,210,
512292.22,6940505.06,2.72,0.24,215,
512292.22,6940505.06,2.66,0.24,215,
512292.22,6940505.06,2.66,0.24,220,
512292.22,6940505.06,2.6,0.24,220,
512292.22,6940505.06,2.6,0.24,225,
512292.22,6940505.06,2.53,0.24,225,
512292.22,6940505.06,2.53,0.24,230,
512292.22,6940505.06,2.53,0.24,230,
512292.22,6940505.06,2.44,0.24,230,
512292.22,6940505.06,2.44,0.24,235,
512292.22,6940505.06,2.34,0.24,235,
512292.22,6940505.06,2.34,0.24,240,
512292.22,6940505.06,2.13,0.24,240,
512292.22,6940505.06,2.13,0.24,245,
512292.22,6940505.06,2.07,0.24,240,
512292.22,6940505.06,2.07,0.24,245,
512292.22,6940505.06,1.86,0.24,235,
512292.22,6940505.06,1.86,0.24,240,
512292.22,6940505.06,1.77,0.24,230,
512292.22,6940505.06,1.77,0.24,235,
512292.22,6940505.06,1.68,0.24,225,
512292.22,6940505.06,1.68,0.24,230,
512292.22,6940505.06,1.68,0.24,230,
512292.22,6940505.06,1.62,0.24,220,
512292.22,6940505.06,1.62,0.24,225,
512292.22,6940505.06,1.57,0.24,215,
512292.22,6940505.06,1.57,0.24,220,
512292.22,6940505.06,1.51,0.24,210,
512292.22,6940505.06,1.51,0.24,215,
512292.22,6940505.06,1.46,0.24,205,
512292.22,6940505.06,1.46,0.24,210,
512292.22,6940505.06,1.41,0.24,200,
512292.22,6940505.06,1.41,0.24,205,
512292.22,6940505.06,1.41,0.24,205,
512292.22,6940505.06,1.37,0.24,195,
512292.22,6940505.06,1.37,0.24,200,
512292.22,6940505.06,1.32,0.24,190,
512292.22,6940505.06,1.32,0.24,195,
512292.22,6940505.06,1.28,0.24,185,
512292.22,6940505.06,1.28,0.24,190,
512292.22,6940505.06,1.23,0.24,180,
512292.22,6940505.06,1.23,0.24,185,
512292.22,6940505.06,1.19,0.24,175,
512292.22,6940505.06,1.19,0.24,180,
512292.22,6940505.06,1.19,0.24,180,
512292.22,6940505.06,1.15,0.24,170,
512292.22,6940505.06,1.15,0.24,175,
512292.22,6940505.06,1.1,0.24,165,
512292.22,6940505.06,1.1,0.24,170,
512292.22,6940505.06,1.06,0.24,160,
512292.22,6940505.06,1.06,0.24,165,
512292.22,6940505.06,1.02,0.24,155,
512292.22,6940505.06,1.02,0.24,160,
512292.22,6940505.06,0.97,0.24,150,
512292.22,6940505.06,0.97,0.24,155,
512292.22,6940505.06,0.97,0.24,155,
512292.22,6940505.06,0.93,0.24,150,
512292.22,6940505.06,-0.94,0.24,150,
512292.22,6940505.06,-1.03,0.24,150,
512292.22,6940505.06,-1.03,0.24,155,
512292.22,6940505.06,-1.03,0.24,155,
512292.22,6940505.06,-1.03,0.24,155,
