column_3,column_4,column_1,column,column_2
515711.5981,6937250.134,10.0,127.1193336,170.0
515712.1987,6937249.489,10.15919439,128.0,170.0
515712.8807,6937248.758,10.32714026,129.0,170.0
515713.5628,6937248.027,10.45394901,130.0,170.0
515713.8385,6937247.731,10.5,130.4043397,170.0
515714.2448,6937247.295,10.58258622,131.0,170.0
515714.9268,6937246.564,10.70673197,132.0,170.0
515715.6088,6937245.833,10.82674188,133.0,170.0
515715.8094,6937245.618,10.85297485,133.2940503,170.0
515715.6088,6937245.833,11.0,133.0,170.0
515717.6549,6937243.639,10.0,136.0,175.0
515716.9729,6937244.37,10.5,135.0,175.0
515716.2908,6937245.101,10.5,134.0,175.0
515681.2679,6937282.657,11.0,82.64836243,175.0
515680.9091,6937283.041,10.5,82.12222053,175.0
515680.8257,6937283.131,10.47248759,82.0,175.0
515680.1437,6937283.862,10.27741243,81.0,175.0
515679.4617,6937284.593,10.06989495,80.0,175.0
515679.1131,6937284.967,10.0,79.48884753,175.0
515678.7797,6937285.325,9.960997515,79.0,175.0
515678.0977,6937286.056,9.878687111,78.0,175.0
515677.4156,6937286.787,9.79211491,77.0,175.0
515676.7336,6937287.519,9.698284104,76.0,175.0
515676.0516,6937288.25,9.612672912,75.0,175.0
515675.3696,6937288.981,9.559350668,74.0,175.0
515674.6876,6937289.713,9.528358019,73.0,175.0
515674.0055,6937290.444,9.508585228,72.0,175.0
515673.7356,6937290.734,9.5,71.60418851,175.0
515673.3235,6937291.175,9.46176873,71.0,175.0
515672.6415,6937291.907,9.362588874,70.0,175.0
515671.9595,6937292.638,9.331288318,69.0,175.0
515671.2774,6937293.369,9.361914375,68.0,175.0
515670.5954,6937294.101,9.403668051,67.0,175.0
515669.9134,6937294.832,9.461341108,66.0,175.0
515669.3319,6937295.456,9.5,65.14744961,175.0
515669.2314,6937295.563,9.501421004,65.0,175.0
515668.5494,6937296.295,9.508002968,64.0,175.0
515667.8673,6937297.026,9.518550912,63.0,175.0
515667.1853,6937297.757,9.530784163,62.0,175.0
515666.5033,6937298.489,9.548287014,61.0,175.0
515665.8213,6937299.22,9.570939395,60.0,175.0
515665.1393,6937299.951,9.601022781,59.0,175.0
515664.4572,6937300.683,9.626479828,58.0,175.0
515663.7752,6937301.414,9.652707466,57.0,175.0
515663.0932,6937302.145,9.679647626,56.0,175.0
515662.4112,6937302.877,9.703008036,55.0,175.0
515661.7291,6937303.608,9.646698318,54.0,175.0
515661.0471,6937304.339,9.581527852,53.0,175.0
515660.3651,6937305.071,9.539586548,52.0,175.0
515659.6831,6937305.802,9.514265699,51.0,175.0
515659.0011,6937306.533,9.500403751,50.0,175.0
515658.9984,6937306.536,9.5,49.99615919,175.0
515658.319,6937307.265,9.166004843,49.0,175.0
515657.637,6937307.996,9.065282193,48.0,175.0
515657.495,6937308.148,9.0,47.79179318,175.0
515657.6132,6937308.022,8.5,47.96505484,175.0
515657.637,6937307.996,8.484569378,48.0,175.0
515658.319,6937307.265,8.454821783,49.0,175.0
515659.0011,6937306.533,8.429147638,50.0,175.0
515659.6831,6937305.802,8.375462894,51.0,175.0
515660.3651,6937305.071,8.209831333,52.0,175.0
515660.9791,6937304.412,8.0,52.9002395,175.0
515661.0471,6937304.339,7.997512197,53.0,175.0
515661.7291,6937303.608,7.992608931,54.0,175.0
515662.4112,6937302.877,7.9867143,55.0,175.0
515663.0932,6937302.145,7.979989512,56.0,175.0
515663.7752,6937301.414,7.970999762,57.0,175.0
515664.4572,6937300.683,7.958612299,58.0,175.0
515665.1393,6937299.951,7.940846967,59.0,175.0
515665.8213,6937299.22,7.918429024,60.0,175.0
515666.5033,6937298.489,7.893946672,61.0,175.0
515667.1853,6937297.757,7.859764862,62.0,175.0
515667.8673,6937297.026,7.810195289,63.0,175.0
515668.5494,6937296.295,7.734643454,64.0,175.0
515669.2314,6937295.563,7.596653503,65.0,175.0
515669.8061,6937294.947,7.5,65.84260261,175.0
515669.9134,6937294.832,7.497599912,66.0,175.0
515670.5954,6937294.101,7.492765632,67.0,175.0
515671.2774,6937293.369,7.486555463,68.0,175.0
515671.9595,6937292.638,7.478458117,69.0,175.0
515672.6415,6937291.907,7.465265492,70.0,175.0
515673.3235,6937291.175,7.446740541,71.0,175.0
515674.0055,6937290.444,7.428060605,72.0,175.0
515674.6876,6937289.713,7.402208055,73.0,175.0
515675.3696,6937288.981,7.365647545,74.0,175.0
515676.0516,6937288.25,7.312365687,75.0,175.0
515676.7336,6937287.519,7.270351729,76.0,175.0
515677.4156,6937286.787,7.231856692,77.0,175.0
515678.0977,6937286.056,7.199253805,78.0,175.0
515678.7797,6937285.325,7.164748715,79.0,175.0
515679.4617,6937284.593,7.131624675,80.0,175.0
515680.1437,6937283.862,7.100084744,81.0,175.0
515680.8257,6937283.131,7.068015262,82.0,175.0
515681.5078,6937282.399,7.035679084,83.0,175.0
515682.1898,6937281.668,7.003360061,84.0,175.0
515682.3038,6937281.546,7.0,84.16717922,175.0
515682.8718,6937280.937,6.989042001,85.0,175.0
515683.5538,6937280.205,6.976691331,86.0,175.0
515684.2358,6937279.474,6.963631312,87.0,175.0
515684.9179,6937278.743,6.949906445,88.0,175.0
515685.5999,6937278.011,6.935542144,89.0,175.0
515686.2819,6937277.28,6.921114272,90.0,175.0
515686.9639,6937276.549,6.906544778,91.0,175.0
515687.646,6937275.817,6.891540929,92.0,175.0
515688.328,6937275.086,6.876117658,93.0,175.0
515689.01,6937274.355,6.860288693,94.0,175.0
515689.692,6937273.623,6.847208287,95.0,175.0
515690.374,6937272.892,6.835559166,96.0,175.0
515691.0561,6937272.161,6.823717308,97.0,175.0
515691.7381,6937271.429,6.811676953,98.0,175.0
