Easting,Northing,Elevation,Chainage,Velocity,,,,,,,
512281.91,6940502.05,-18.5,0,405,,,,,,,
512281.91,6940502.05,-18.5,0,410,,,,,,,
512281.91,6940502.05,-18.5,0,410,,,,,,,
512281.91,6940502.05,-18.68,0,410,,,,,,,
512281.91,6940502.05,-18.68,0,415,,,,,,,
512281.91,6940502.05,-18.85,0,415,,,,,,,
512281.91,6940502.05,-18.85,0,420,,,,,,,
512281.91,6940502.05,-19,0,420,,,,,,,
512281.91,6940502.05,-19,0,425,,,,,,,
512281.91,6940502.05,-19.15,0,425,,,,,,,
512281.91,6940502.05,-19.15,0,430,,,,,,,
512281.91,6940502.05,-19.29,0,430,,,,,,,
512281.91,6940502.05,-19.29,0,435,,,,,,,
512281.91,6940502.05,-19.29,0,435,,,,,,,
512281.91,6940502.05,-19.42,0,435,,,,,,,
512281.91,6940502.05,-19.42,0,440,,,,,,,
512281.91,6940502.05,-19.56,0,440,,,,,,,
512281.91,6940502.05,-19.56,0,445,,,,,,,
512281.91,6940502.05,-19.68,0,445,,,,,,,
512281.91,6940502.05,-19.68,0,450,,,,,,,
512281.91,6940502.05,-19.8,0,450,,,,,,,
512281.91,6940502.05,-19.8,0,455,,,,,,,
512281.91,6940502.05,-19.92,0,455,,,,,,,
512281.91,6940502.05,-19.92,0,460,,,,,,,
512281.91,6940502.05,-19.92,0,460,,,,,,,
512281.91,6940502.05,-20.03,0,460,,,,,,,
512281.91,6940502.05,-20.03,0,465,,,,,,,
512281.91,6940502.05,-20.14,0,465,,,,,,,
512281.91,6940502.05,-20.14,0,470,,,,,,,
512281.91,6940502.05,-20.25,0,470,,,,,,,
512281.91,6940502.05,-20.25,0,475,,,,,,,
512281.91,6940502.05,-20.35,0,475,,,,,,,
512281.91,6940502.05,-20.35,0,480,,,,,,,
512281.91,6940502.05,-20.46,0,480,,,,,,,
512281.91,6940502.05,-20.46,0,485,,,,,,,
512281.91,6940502.05,-20.46,0,485,,,,,,,
512281.91,6940502.05,-20.56,0,485,,,,,,,
512281.91,6940502.05,-20.56,0,490,,,,,,,
512281.91,6940502.05,-20.66,0,490,,,,,,,
512281.91,6940502.05,-20.66,0,495,,,,,,,
512281.91,6940502.05,-20.76,0,495,,,,,,,
512281.91,6940502.05,-20.76,0,500,,,,,,,
512281.91,6940502.05,-20.85,0,500,,,,,,,
512281.91,6940502.05,-20.85,0,505,,,,,,,
512281.91,6940502.05,-20.95,0,505,,,,,,,
512281.91,6940502.05,-20.95,0,510,,,,,,,
512281.91,6940502.05,-20.95,0,510,,,,,,,
512281.91,6940502.05,-21.04,0,510,,,,,,,
512281.91,6940502.05,-21.04,0,515,,,,,,,
512281.91,6940502.05,-21.14,0,515,,,,,,,
512281.91,6940502.05,-21.14,0,520,,,,,,,
512281.91,6940502.05,-21.23,0,520,,,,,,,
512281.91,6940502.05,-21.23,0,525,,,,,,,
512281.91,6940502.05,-21.32,0,525,,,,,,,
512281.91,6940502.05,-21.32,0,530,,,,,,,
512281.91,6940502.05,-21.41,0,530,,,,,,,
512281.91,6940502.05,-21.41,0,535,,,,,,,
512281.91,6940502.05,-21.41,0,535,,,,,,,
512281.91,6940502.05,-21.49,0,535,,,,,,,
512281.91,6940502.05,-21.49,0,540,,,,,,,
512281.91,6940502.05,-21.58,0,540,,,,,,,
512281.91,6940502.05,-21.58,0,545,,,,,,,
512281.91,6940502.05,-21.67,0,545,,,,,,,
512281.91,6940502.05,-21.67,0,550,,,,,,,
512281.91,6940502.05,-21.75,0,550,,,,,,,
512281.91,6940502.05,-21.75,0,555,,,,,,,
512281.91,6940502.05,-21.84,0,555,,,,,,,
512281.91,6940502.05,-21.84,0,560,,,,,,,
512281.91,6940502.05,-21.84,0,560,,,,,,,
512281.91,6940502.05,-21.92,0,560,,,,,,,
512281.91,6940502.05,-21.92,0,565,,,,,,,
512281.91,6940502.05,-22.01,0,565,,,,,,,
512281.91,6940502.05,-22.01,0,570,,,,,,,
512281.91,6940502.05,-22.09,0,570,,,,,,,
512281.91,6940502.05,-22.09,0,575,,,,,,,
512281.91,6940502.05,-22.17,0,575,,,,,,,
512281.91,6940502.05,-22.17,0,580,,,,,,,
512281.91,6940502.05,-22.25,0,580,,,,,,,
512281.91,6940502.05,-22.25,0,585,,,,,,,
512281.91,6940502.05,-22.25,0,585,,,,,,,
512281.91,6940502.05,-22.34,0,585,,,,,,,
512281.91,6940502.05,-22.34,0,590,,,,,,,
512281.91,6940502.05,-22.42,0,590,,,,,,,
512281.91,6940502.05,-22.42,0,595,,,,,,,
512281.91,6940502.05,-22.5,0,595,,,,,,,
512281.91,6940502.05,-22.5,0,600,,,,,,,
512281.91,6940502.05,-22.58,0,600,,,,,,,
512281.91,6940502.05,-22.58,0,605,,,,,,,
512281.91,6940502.05,-22.66,0,605,,,,,,,
512281.91,6940502.05,-22.66,0,610,,,,,,,
512281.91,6940502.05,-22.66,0,610,,,,,,,
512281.91,6940502.05,-22.74,0,610,,,,,,,
512281.91,6940502.05,-22.74,0,615,,,,,,,
512281.91,6940502.05,-22.82,0,615,,,,,,,
512281.91,6940502.05,-22.82,0,620,,,,,,,
512281.91,6940502.05,-22.9,0,620,,,,,,,
512281.91,6940502.05,-22.9,0,625,,,,,,,
512281.91,6940502.05,-22.99,0,625,,,,,,,
512281.91,6940502.05,-22.99,0,630,,,,,,,
512281.91,6940502.05,-23.07,0,630,,,,,,,
512281.91,6940502.05,-23.07,0,635,,,,,,,
512281.91,6940502.05,-23.07,0,635,,,,,,,
512281.91,6940502.05,-23.15,0,635,,,,,,,
512281.91,6940502.05,-23.15,0,640,,,,,,,
512281.91,6940502.05,-23.24,0,640,,,,,,,
512281.91,6940502.05,-23.24,0,645,,,,,,,
512281.91,6940502.05,-23.33,0,645,,,,,,,
512281.91,6940502.05,-23.33,0,650,,,,,,,
512281.91,6940502.05,-23.42,0,650,,,,,,,
512281.91,6940502.05,-23.42,0,655,,,,,,,
512281.91,6940502.05,-23.51,0,655,,,,,,,
512281.91,6940502.05,-23.51,0,660,,,,,,,
512281.91,6940502.05,-23.51,0,660,,,,,,,
512281.91,6940502.05,-23.61,0,660,,,,,,,
512281.91,6940502.05,-23.61,0,665,,,,,,,
512281.91,6940502.05,-23.72,0,665,,,,,,,
512281.91,6940502.05,-23.72,0,670,,,,,,,
