X,Y,Z,Vs
509489.526800,6944446.605000,29.826873,270
509489.931000,6944446.899000,29.881528,270
509490.335100,6944447.194000,29.975018,270
509490.739300,6944447.488000,30.077788,270
509491.143400,6944447.782000,30.194150,270
509491.443900,6944448.001000,30.300000,270
509491.547600,6944448.077000,30.330498,270
509491.951700,6944448.371000,30.448047,270
509492.355900,6944448.666000,30.566493,270
509492.760000,6944448.960000,30.651733,270
509493.164200,6944449.254000,30.726902,270
509493.555200,6944449.539000,30.800000,270
509493.568300,6944449.549000,30.802671,270
509493.972500,6944449.843000,30.850863,270
509494.376600,6944450.138000,30.858715,270
509494.780700,6944450.432000,30.866374,270
509495.184900,6944450.726000,30.867346,270
509495.589000,6944451.021000,30.827559,270
509495.878000,6944451.231000,30.800000,270
509495.993200,6944451.315000,30.788127,270
509496.397300,6944451.609000,30.747854,270
509496.801500,6944451.904000,30.697612,270
509497.205600,6944452.198000,30.645976,270
509497.609800,6944452.493000,30.594684,270
509498.013900,6944452.787000,30.568888,270
509498.418100,6944453.081000,30.566893,270
509498.822200,6944453.376000,30.564940,270
509499.226400,6944453.670000,30.578833,270
509499.630500,6944453.965000,30.655216,270
509500.034600,6944454.259000,30.737957,270
509500.318300,6944454.466000,30.800000,270
509500.438800,6944454.553000,30.822009,270
509500.842900,6944454.848000,30.896212,270
509501.247100,6944455.142000,30.969403,270
509501.651200,6944455.437000,31.049180,270
509502.055400,6944455.731000,31.077167,270
509502.459500,6944456.025000,31.076857,270
509502.863700,6944456.320000,31.076463,270
509503.267800,6944456.614000,31.050041,270
509503.672000,6944456.909000,30.945351,270
509504.076100,6944457.203000,30.848811,270
509504.252200,6944457.331000,30.800000,270
509504.480300,6944457.497000,30.714954,270
509504.884400,6944457.792000,30.513107,270
509505.288500,6944458.086000,30.301118,270
509505.290600,6944458.088000,30.300000,270
509505.335900,6944458.121000,29.800000,270
509505.288500,6944458.086000,29.786064,270
509504.884400,6944457.792000,29.650860,270
509504.480300,6944457.497000,29.513923,270
509504.076100,6944457.203000,29.417439,270
509503.672000,6944456.909000,29.320894,270
509503.588200,6944456.848000,29.300000,270
509503.267800,6944456.614000,29.230743,270
509502.863700,6944456.320000,29.190853,270
509502.459500,6944456.025000,29.174321,270
509502.055400,6944455.731000,29.161408,270
509501.651200,6944455.437000,29.169239,270
509501.247100,6944455.142000,29.207344,270
509500.842900,6944454.848000,29.249643,270
509500.438800,6944454.553000,29.291700,270
509500.337800,6944454.480000,29.300000,270
509500.034600,6944454.259000,29.328680,270
509499.630500,6944453.965000,29.366501,270
509499.226400,6944453.670000,29.404384,270
509498.822200,6944453.376000,29.359647,270
509498.502000,6944453.143000,29.300000,270
509498.418100,6944453.081000,29.286605,270
509498.013900,6944452.787000,29.237361,270
509497.609800,6944452.493000,29.138599,270
509497.205600,6944452.198000,28.836490,270
509497.070200,6944452.100000,28.800000,270
509496.801500,6944451.904000,28.779692,270
509496.397300,6944451.609000,28.712744,270
509495.993200,6944451.315000,28.587582,270
509495.589000,6944451.021000,28.510921,270
509495.184900,6944450.726000,28.387506,270
509494.788000,6944450.437000,28.300000,270
509494.780700,6944450.432000,28.298349,270
509494.376600,6944450.138000,28.211197,270
509493.972500,6944449.843000,28.124874,270
509493.568300,6944449.549000,28.053524,270
509493.164200,6944449.254000,28.001032,270
509492.760000,6944448.960000,27.950272,270
509492.355900,6944448.666000,27.909837,270
509491.951700,6944448.371000,27.881093,270
509491.547600,6944448.077000,27.843024,270
509491.181300,6944447.810000,27.800000,270
509491.143400,6944447.782000,27.797815,270
509490.739300,6944447.488000,27.765637,270
509490.335100,6944447.194000,27.738812,270
509489.931000,6944446.899000,27.717403,270
509489.526800,6944446.605000,27.665277,270
509489.122700,6944446.310000,27.570192,270
509488.718600,6944446.016000,27.509446,270
509488.314400,6944445.722000,27.447024,270
509487.910300,6944445.427000,27.374467,270
509487.506100,6944445.133000,27.300400,270
509487.503500,6944445.131000,27.300000,270
509487.102000,6944444.838000,27.248471,270
509487.102000,6944444.838000,29.736503,270
509525.900000,6944473.100000,35.800000,275
509525.900000,6944473.100000,32.239262,275
509525.495900,6944472.806000,32.224923,275
509525.091700,6944472.511000,32.209148,275
509524.687600,6944472.217000,32.191941,275
509524.283400,6944471.922000,32.156394,275
509523.879300,6944471.628000,32.126833,275
509523.475100,6944471.334000,32.096461,275
509523.071000,6944471.039000,32.052764,275
